GeneName,GeneID,pH7.4(control),pH4.8,5%NaCl,5mM H2O2
lmo0746,985530,0,0,3,5
lmo0747,985529,0,0,8,6
lmo0748,985528,4,2,42,30
lmo0749,985526,0,0,130,82
lmo0750,985524,14,3,181,110
lmo0751,985522,0,1,90,42
lmo0752,985519,21,10,332,193
lmo0753,985518,4,2,117,59
lmo0754,985517,9,2,130,112
lmo0755,985516,5,2,53,140
lmo0756,985514,29,1,128,212
lmo0757,985511,75,27,245,405
lmo0758,985508,5,1,91,33
lmo0759,985503,52,23,337,202
lmo0760,985499,7,5,256,192
lmo0761,985498,2,8,36,58
lmo0762,985496,16,0,118,329
lmo0763,985495,84,30,1061,1131
lmo0764,985491,65,17,1111,1410
lmo0765,985489,33,5,120,81
lmo0766,985488,6,1,39,42
lmo0767,985486,3,0,20,15
lmo0768,985485,4,0,52,33
lmo0769,985482,2,1,227,93
lmo0770,985481,92,30,2173,2459
lmo0771,985478,121,248,537,578
lmo0772,985477,25,8,222,197
lmo0773,985473,190,13,601,756
lmo0774,985472,78,18,493,471
lmo0775,985469,13,0,772,622
lmo0776,985467,36,1,178,296
lmo0777,985466,36,3,1611,669
lmo0778,985465,2,0,274,102
lmo0779,985463,254,48,3467,2631
lmo0780,985461,0,0,7,19
lmo0781,985460,1394,550,621,1415
lmo0782,985459,657,196,2287,2194
